Archivo: DN419NG.jpg, Reconocido: IIQ64, Estado: FALLO SEGMENTACION
Archivo: ER888FS.jpg, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: G1457B_1.png, Reconocido: , Estado: FALLO SEGMENTACION
Archivo: 2KVB52.png, Reconocido: 2KVB52, Estado: OK
Archivo: BG19517.png, Reconocido: BE19517, Estado: FALLO NN
Archivo: BXSV91.png, Reconocido: BXSV9, Estado: FALLO SEGMENTACION
Archivo: TR05RGB.jpg, Reconocido: TO, Estado: FALLO SEGMENTACION
Archivo: W386BX.png, Reconocido: Y3BEBX, Estado: FALLO NN
Archivo: B90MYU.png, Reconocido: XU, Estado: FALLO SEGMENTACION
Archivo: VI496AN.png, Reconocido: YI496AN, Estado: FALLO NN
Archivo: BL33635_1.png, Reconocido: QBL33635, Estado: FALLO SEGMENTACION
Archivo: CM855DY.png, Reconocido: CN855DY, Estado: FALLO NN
Archivo: 9R0Y888.png, Reconocido: YROY888, Estado: FALLO NN
